id,DQD,DQB,DQL,GEME,AH,MTH,FH,RT,FU,HO,GEMN,HAUS,LABE,GRUF,VOLU
DENILD800000gYLI,1000,1300,1000,03456010,32.988,35.659,35.659,1000,31001_2000,2.671,Isterberg,NA,NA,3.783203125,183.13994226176698
DENILD800000gYQu,1000,1300,1000,03456010,32.739,37.759,42.249,3100,31001_2000,9.509,Isterberg,NA,NA,98.302734375,640.7076407072618
DENILD800000a22n,1000,1300,1000,03456018,30.873,41.198,42.381,3100,31001_2000,11.508,Quendorf,NA,NA,44.4921875,485.71149845570096
DENILD800000lv9p,1000,1300,1000,03456010,31.441,37.187,42.646,3100,31001_2720,11.205,Isterberg,NA,NA,3.6455078125,3082.226094329594
DENILD800000a29W,1000,1300,1000,03456018,32.076,36.589,38.763,3100,31001_2720,6.687,Quendorf,NA,NA,167.6669921875,938.9521518567606
DENILD800000ryHf,1000,1300,1000,03456010,31.687,46.615,47.382,9999,31001_2000,15.695,Isterberg,NA,NA,33.2646484375,514.6954513280549
DENILD800000a29N,1000,1300,1000,03456018,31.098,36.745,36.745,1000,31001_2720,5.648,Quendorf,NA,NA,136.767578125,773.6534675866675
DENILD800000gYIe,1000,1300,1000,03456010,32.559,36.148,37.142,3200,31001_2000,4.584,Isterberg,NA,NA,59.6416015625,237.46250491745715
DENILD800000gYOZ,1000,1300,1000,03456010,32.744,38.104,41.627,3100,31001_1000,8.883,Isterberg,3,Alte Schüttorfer Straße,25.6044921875,1324.5947215777821
DENILD800000a24o,1000,1300,1000,03456018,31.659,51.405,51.405,1000,31001_2720,19.746,Quendorf,NA,NA,2.8994140625,2514.3566817464693
DENILD800000gYOg,1000,1300,1000,03456010,32.47,44.628,45.175,3100,31001_2000,12.705,Isterberg,NA,NA,0.3642578125,1347.902755714285
DENILD800000gYQT,1000,1300,1000,03456010,32.462,36.007,41.046,3100,31001_2720,8.584,Isterberg,NA,NA,178.8095703125,3915.4099781054106
DENILD800000ryHd,1000,1300,1000,03456010,31.708,39.27,39.27,NA,31001_2720,7.562,Isterberg,NA,NA,2.119140625,16.02353769430486
DENILD800000jgRH,1000,1300,1000,03456018,32.329,38.219,38.219,1000,51009_1610,5.89,Quendorf,NA,NA,101.6103515625,598.4851146416897
